ward,type,location,year,est_cost,id,point_location,lat,long,query
6,Sidewalk Menu,203 E 75TH ST,2020,28419.95,4704,203 E 75TH ST,41.75832070300004,-87.61981017599999,census
28,Sidewalk Menu,203 N KOLIN AVE,2019,1158.925,41977,203 N KOLIN AVE,41.88334224000005,-87.73432729499996,census
25,Miscellaneous CDOT Projects,2030 S BLUE ISLAND AVE,2022,660,41704,2030 S BLUE ISLAND AVE,41.854668669000034,-87.66388763199996,census
43,Miscellaneous-BOE,2032 N CLYBOURN AV,2007,2000,34465,2032 N CLYBOURN AV,41.91829781400003,-87.65980893499994,census
32,Sidewalk Menu,2032 W ROSCOE ST,2021,1602.32,26453,2032 W ROSCOE ST,41.94321081600003,-87.67978395799997,census
32,Sidewalk Menu,2033 W BELMONT AVE,2017,16061.09,26283,2033 W BELMONT AVE,41.93955881000005,-87.67921115199994,census
25,Curb & Gutter Menu,2034 W 23RD ST,2018,15820.92,41677,2034 W 23RD ST,41.85034386900003,-87.67733066299996,census
15,Sidewalk Menu,2035 W GARFIELD BLVD,2019,3827.295,41066,2035 W GARFIELD BLVD,41.79353328000008,-87.67562998799997,census
25,Curb & Gutter Menu,2036 W 23RD ST,2018,15820.92,41678,2036 W 23RD ST,41.850343320000036,-87.67735756399998,census
25,POD Camera,2036 W. 23 rd St. (TPC - $20000-2009,2011,12636,20488,2036 W. 23 rd St. (TPC - $20000-2009,41.8505997,-87.67726,google
25,POD Camera,2036 W. 23 rd St.,2009,3000,20301,2036 W. 23 rd St.,41.850343320000036,-87.67735756399998,census
25,POD Camera,2036 W. 23 rd St.,2010,4364,20445,2036 W. 23 rd St.,41.850343320000036,-87.67735756399998,census
3,Alley Resurfacing Menu,2036,2020,10976.615,40343,2036,NA,NA,google
25,Alley Speed Hump Menu,2037 W COULTER ST,2021,700,41697,2037 W COULTER ST,41.84908112200003,-87.67672425499995,census
15,Sidewalk Menu,2037 W GARFIELD BLVD,2019,3827.295,41067,2037 W GARFIELD BLVD,41.793532251000045,-87.67566086699998,census
49,Street Light Upgrade,2038 W FARGO AVE,2013,400,39403,2038 W FARGO AVE,42.01648341600003,-87.68186741499994,census
27,Miscellaneous CDOT Projects,204 S ASHLAND AVE,2022,6766.05,22299,204 S ASHLAND AVE,41.8785968,-87.6671362,google
26,Alley Resurfacing Menu,2040 N SPAULDING AVE,2019,22070.22,41725,2040 N SPAULDING AVE,41.91852269100008,-87.71028134599999,census
2,Bollard Menu,2040 W ADAMS ST,2010,2690,1656,2040 W ADAMS ST,41.87867701400006,-87.68092068699997,census
36,Sidewalk Menu,2042 N KILBOURN AVE,2020,6044.22,29655,2042 N KILBOURN AVE,41.9182902,-87.7391124,google
32,Sidewalk Menu,2042 N LEAVITT ST,2020,16933.29,26413,2042 N LEAVITT ST,41.85422619800005,-87.68081012799996,census
49,Street Light Upgrade,2042 W FARGO AVE,2013,400,39401,2042 W FARGO AVE,42.01648355300006,-87.68193587699994,census
1,Street Speed Hump Menu,2044 W SCHILLER ST,2020,2350,40256,2044 W SCHILLER ST,41.90711733000006,-87.67916098699999,census
43,Lincoln Park Pathway Installation (Fullertion and Stockton),2045 N LINCOLN PARK W,2019,15620,35152,2045 N LINCOLN PARK W,41.9197439,-87.6358847,google
47,Alley Apron Menu,2045 W BELLE PLAINE AVE,2021,16288.96,38192,2045 W BELLE PLAINE AVE,41.9557424,-87.6805949,google
36,Sidewalk Menu,2046 N KILBOURN AVE,2022,2083.41,29747,2046 N KILBOURN AVE,41.9184448,-87.7390932,google
18,Sidewalk Menu,2048 W 83RD ST,2022,6904.36,15223,2048 W 83RD ST,41.744363512000064,-87.57417756299998,census
32,Alley Apron Menu,2048 W DICKENS AVE,2016,21229.43,26207,2048 W DICKENS AVE,41.91926244000007,-87.67890738199998,census
49,Street Light Upgrade,2048 W FARGO AVE,2013,400,39399,2048 W FARGO AVE,42.016484571000035,-87.68203870899998,census
47,Sidewalk Menu,2049 W AINSLIE ST,2021,732.78,38214,2049 W AINSLIE ST,41.97053914800006,-87.68124816799997,census
42,Pavement Markings,205 N COLUMBUS DR,2015,1300,34037,205 N COLUMBUS DR,41.8862217,-87.619717,google
7,Sidewalk Menu,2050 E 93RD ST,2020,11440.49,40550,2050 E 93RD ST,41.724718919000054,-87.67376193699994,census
18,Sidewalk Menu,2050 W 79TH PL,2021,4319.14,15169,2050 W 79TH PL,41.749315085000035,-87.67436108499999,census
49,Alley Resurfacing Menu,2050 W BIRCHWOODAVE,2022,29439.1,43563,2050 W BIRCHWOODAVE,42.0181208,-87.6825002,google
49,Alley Apron Menu,2050 W JARVIS AVE,2020,27007.38,39660,2050 W JARVIS AVE,42.01514555600005,-87.68241637599994,census
26,Sidewalk Menu,2053 N AVERS AVE,2021,2820.67,21554,2053 N AVERS AVE,41.9188308,-87.7226971,google
25,Sidewalk Menu,2054 W 18TH PL,2018,6384.89,20715,2054 W 18TH PL,41.8569195,-87.6780881,google
43,Concrete Alley Menu,2055 N KENMORE AVE,2017,5201.845,42996,2055 N KENMORE AVE,41.91919972900007,-87.65460868999998,census
43,Concrete Alley Menu,2055 N KENMORE AVE,2018,11798.155,43012,2055 N KENMORE AVE,41.91919972900007,-87.65460868999998,census
25,Sidewalk Menu,2055 W COULTER ST,2021,10421.47,20821,2055 W COULTER ST,41.84893481800003,-87.67710667699998,census
29,Sidewalk Menu,2056 N NEVA AVE,2022,12616.335,42104,2056 N NEVA AVE,41.91743791300007,-87.80421654899999,census
35,High Definition Camera Menu,2057 N KILDARE AVE,2016,27011,42563,2057 N KILDARE AVE,41.85372417200006,-87.73212485599998,census
36,Sidewalk Menu,2057 N NAGLE AVE,2019,24482.49,29614,2057 N NAGLE AVE,41.91756680200007,-87.78647292199997,census
12,1 POD Camera: 2059 W 35th St,2059 W 35TH ST,2021,24776,9646,2059 W 35TH ST,41.830365819000065,-87.67709140299996,census
27,Street Light Upgrade,208 S ASHLAND AVE,2015,400,22103,208 S ASHLAND AVE,41.8785593,-87.6671606,google
50,Street Light Upgrade Menu,2089 W LUNT AVE,2016,450,40038,2089 W LUNT AVE,42.008857084000056,-87.68093346699999,census
29,Street Light Upgrade Menu,21 S MASON AVE,2021,159.77,23698,21 S MASON AVE,41.8793886,-87.772663,google
29,Street Light Upgrade Menu,21 S MASON AVE,2022,340.23,23755,21 S MASON AVE,41.8793886,-87.772663,google
28,Sidewalk Menu,210 N KOLIN AVE,2019,1158.925,41979,210 N KOLIN AVE,41.88375645200006,-87.73435543899996,census
28,Alley Resurfacing Menu (1-1),210 S CICERO AVE,2018,17867.48,22955,210 S CICERO AVE,41.87845242100008,-87.74520933599996,census
11,Sidewalk Menu,210 W 30TH ST,2015,1497,8502,210 W 30TH ST,41.839858,-87.6322017,google
43,Bollard Menu,210 W Scott,2012,704,34747,210 W Scott,41.9051234,-87.6351592,google
36,Speed Indicator Signs,2100 N CICERO AVE,2019,22000,29629,2100 N CICERO AVE,41.85263618700003,-87.74431536499998,census
43,Alley Apron Menu,2100 N DAYTON ST,2017,7785.02,35064,2100 N DAYTON ST,41.92008604500006,-87.64979814899993,census
43,POD Camera,2100 N Howe,2008,24000,42984,2100 N Howe,41.9200491,-87.644717,google
36,Sidewalk Menu,2100 N LATROBE AVE,2020,14185.47,29661,2100 N LATROBE AVE,41.918797006000034,-87.75722522099994,census
37,Floodlight Menu,2100 N LATROBE AVE,2014,600,30229,2100 N LATROBE AVE,41.918797006000034,-87.75722522099994,census
43,Street Light Arterial Menu,2100 N LINCOLN AVE,2021,25000,35212,2100 N LINCOLN AVE,41.92056758700005,-87.64194742499996,census
25,Miscellaneous CDOT Projects,2100 W CERMAK RD,2021,222500,20808,2100 W CERMAK RD,41.85214318900006,-87.67848819999995,census
27,POD CAMERA: 2100 W GLADYS AVE,2100 W GLADYS AVE,2019,24776,22223,2100 W GLADYS AVE,41.87691655800006,-87.68016345999996,census
27,High Definition Camera,2100 W MADISON ST,2014,22500,22066,2100 W MADISON ST,41.88131952700007,-87.67927577699999,census
27,2 POD CAMERAS - N. ALBANY/W. FULTON & 2100 W MAYPOLE,2100 W MAYPOLE AVE,2018,27011,41904,2100 W MAYPOLE AVE,41.88394570300005,-87.67936894699994,census
36,Sidewalk Menu,2101 N LEAMINGTON AVE,2017,21267.95,29512,2101 N LEAMINGTON AVE,41.91879608200003,-87.75475593399995,census
36,Sidewalk Menu,2101 N LOCKWOOD AVE,2022,13748.72,29748,2101 N LOCKWOOD AVE,41.9187522,-87.758116,google
43,Alley Resurfacing Menu,2101 N SHEFFIELD AVE,2019,21280.35,43046,2101 N SHEFFIELD AVE,41.92003341900005,-87.65342143399994,census
25,Sidewalk Menu,2101 S CHINA PL,2020,30180.58,20772,2101 S CHINA PL,41.85470897400006,-87.63306751499994,census
12,Sidewalk Menu,2101 S FAIRFIELD AVE,2018,21458.05,9495,2101 S FAIRFIELD AVE,41.85306004100005,-87.69424108499999,census
25,POD Camera,2101 S. China Pl.,2005,3087,20056,2101 S. China Pl.,41.85470897400006,-87.63306751499994,census
25,POD Camera,2101 S. China Pl.,2009,3456,20307,2101 S. China Pl.,41.85470897400006,-87.63306751499994,census
36,Alley Apron Menu,2102 N KOSTNER AVE,2021,20128.66,29674,2102 N KOSTNER AVE,41.9190692,-87.7366856,google
40,Sidewalk Menu,2103 W BALMORAL AVE,2016,558.47,32533,2103 W BALMORAL AVE,41.97962628700003,-87.68217839999994,census
36,Sidewalk Menu,2104 N MERRIMAC AVE,2021,7650.61,42672,2104 N MERRIMAC AVE,41.91857506000008,-87.78163594199998,census
32,Sidewalk Menu,2104 W WEBSTER AVE,2017,5358.5,26287,2104 W WEBSTER AVE,41.92133894700004,-87.68153430699994,census
36,Sidewalk Menu,2105 N MERRIMAC AVE,2021,7650.61,42673,2105 N MERRIMAC AVE,41.91857531100004,-87.78162120999997,census
47,Sidewalk Menu,2105 W CULLOM AVE,2021,3858.6,38215,2105 W CULLOM AVE,41.959401,-87.6816193,google
32,Alley Speed Hump Menu,2107 N ALBANY AVE,2015,700,26179,2107 N ALBANY AVE,41.85261576100004,-87.70283616699999,census
36,Sidewalk Menu,2107 N MEADE AVE,2019,2778.55,29622,2107 N MEADE AVE,41.91821074600006,-87.77795347799997,census
12,Bollard Menu,2107 S MARSHALL BLVD,2022,1989.48,9719,2107 S MARSHALL BLVD,41.85346177500003,-87.69913089199997,census
49,Alley Apron Menu,2108 W JARVIS AVE,2022,11263.48,39724,2108 W JARVIS AVE,42.01515283300006,-87.68332283699993,census
9,Street Light Upgrade Menu,211 E 90TH ST,2020,500,6845,211 E 90TH ST,41.730729,-87.6185994,google
36,Sidewalk Menu,2110 N MERRIMAC AVE,2022,3907.92,29749,2110 N MERRIMAC AVE,41.918709645000035,-87.78164008299996,census
2,Clover Park Pickle Ball Court Installation,2110 N SOUTHPORT AVE,2022,40000,2337,2110 N SOUTHPORT AVE,41.920217311000044,-87.66316074499997,census
27,Pedestrian Refuge Island Menu,2110 W OGDEN AVE,2017,29283.08,22167,2110 W OGDEN AVE,41.87105919900006,-87.67845724899996,census
28,Pedestrian Refuge Island Menu,2110 W OGDEN AVE,2016,20281.04,22898,2110 W OGDEN AVE,41.87105919900006,-87.67845724899996,census
28,Pedestrian Refuge Island Menu,2110 W OGDEN AVE,2017,9002.05,22932,2110 W OGDEN AVE,41.87105919900006,-87.67845724899996,census
25,Sidewalk Menu,2111 S TAN CT,2022,17634.33,20875,2111 S TAN CT,41.855269029000056,-87.63423086499995,census
1,Sidewalk Menu,2112 N MAPLEWOOD AVE,2016,801.46,674,2112 N MAPLEWOOD AVE,41.91965362500008,-87.69134778199998,census
43,Alley Resurfacing Menu,2113 N CLIFTONAVE,2022,18228.34,43096,2113 N CLIFTONAVE,41.9203493,-87.6568264,google
36,Sidewalk Menu,2113 N MEADE AVE,2022,3403.12,29750,2113 N MEADE AVE,41.91835748700004,-87.77795860999998,census
32,Sidewalk Menu,2114 W CHARLESTON ST,2022,3756.53,26497,2114 W CHARLESTON ST,41.91998362500004,-87.68096159399994,census
1,Sidewalk Menu,2115 N CALIFORNIA AVE,2019,2652.05,813,2115 N CALIFORNIA AVE,41.85327665500006,-87.69548190899997,census
5,Alley Apron Menu,2116 E 68TH ST,2021,8486.8,4197,2116 E 68TH ST,41.7718823,-87.5733166,google
36,Sidewalk Menu,2116 N MERRIMAC AVE,2022,4525.77,29751,2116 N MERRIMAC AVE,41.918844232000026,-87.781644220999965,census
47,Alley Apron Menu,2117 W AINSLIE ST,2017,13166.47,37989,2117 W AINSLIE ST,41.970520890000046,-87.68267996699996,census
1,Miscellaneous-BOE,2118 N BINGHAM ST,2007,1000,212,2118 N BINGHAM ST,41.91846279500004,-87.69180825299998,census
36,Alley Resurfacing Menu,2118 N NEWLAND AVE,2022,16751.165,42690,2118 N NEWLAND AVE,41.91882096900008,-87.79876216999997,census
36,Sidewalk Menu,2119 N MCVICKER AVE,2019,3156.41,29617,2119 N MCVICKER AVE,41.91845664400006,-87.77673944399999,census
28,Sidewalk Menu,212 N KOLIN AVE,2019,1158.925,41980,212 N KOLIN AVE,41.88384214100006,-87.73435795899996,census
15,Sidewalk Menu,2120 W 57TH ST,2019,3160.04,12905,2120 W 57TH ST,41.7904248,-87.6774737,google
35,Nixon Elementary Playground & Civil Site Improvements,2121 N KEELER AVE,2022,143500,28951,2121 N KEELER AVE,41.85274791300003,-87.72965094999995,census
2,Miscellaneous-CDOT,2121 W. Washington,2008,202,1250,2121 W. Washington,41.8829512,-87.6800164,google
24,Floodlight Menu,2122 S MILLARD AVE,2021,950,19889,2122 S MILLARD AVE,41.85289412700007,-87.71626093999998,census
43,Street Lighting,2123 N LINCOLN PARK WEST,2005,500,34361,2123 N LINCOLN PARK WEST,41.9208609,-87.6364211,google
36,Alley Speed Hump Menu,2123 N MOODY AVE,2019,1050,42618,2123 N MOODY AVE,41.91847216700006,-87.77918100899996,census
15,Sidewalk Menu,2123 W GARFIELD BLVD,2019,13041.2433333333,41146,2123 W GARFIELD BLVD,41.793510197000046,-87.67762061499997,census
15,Sidewalk Menu,2125 W GARFIELD BLVD,2019,13041.2433333333,41147,2125 W GARFIELD BLVD,41.793509388000075,-87.67769388799996,census
12,POD Camera,2126 S. California,2010,20000,9157,2126 S. California,41.8529435,-87.6959869,google
25,Curb & Gutter Menu,2126 W 23RD ST,2018,9496.22,41674,2126 W 23RD ST,41.85031392800005,-87.67943195399994,census
25,Sidewalk Menu,2128 W 23RD PL,2021,9887.16,20822,2128 W 23RD PL,41.84940910300003,-87.67920145999994,census
32,Sidewalk Menu,2128 W CHURCHILL ST,2018,2223.79,26333,2128 W CHURCHILL ST,41.91465231900003,-87.68120087299997,census
35,1 POD Camera SW Corner 2130 North Kedvale,2130 N KEDVALE AVE,2021,24776,28856,2130 N KEDVALE AVE,41.91995,-87.73067,google
25,Sidewalk Menu,2131 W 24TH ST,2021,19770.49,20823,2131 W 24TH ST,NA,NA,census
40,Alley Resurfacing Menu,2131 W FARRAGUT AVE,2017,20693.49,32554,2131 W FARRAGUT AVE,41.97688302100005,-87.68316027099996,census
18,Bollard Menu,2132 W 83 ST,2007,2142,14584,2132 W 83 ST,41.744383044000074,-87.57264594099996,census
24,Floodlight Menu,2133 S LAWNDALE AVE,2021,950,19890,2133 S LAWNDALE AVE,41.852542,-87.7171417,google
7,Sidewalk Menu,2135 E 93RD ST,2015,1912,5227,2135 E 93RD ST,41.726161786000034,-87.57163376599999,census
36,Sidewalk Menu,2135 N KILPATRICK AVE,2018,3211.415,42612,2135 N KILPATRICK AVE,41.91982536100005,-87.74375533199998,census
36,Sidewalk Menu,2136 N KILPATRICK AVE,2018,3211.415,42613,2136 N KILPATRICK AVE,41.91984772300003,-87.74377056699996,census
47,Sidewalk Menu,2136 W WARNER AVE,2021,2415.7,38216,2136 W WARNER AVE,41.956851724000046,-87.68228758699996,census
36,Sidewalk Menu,2137 N KILPATRICK AVE,2019,5413.81333333333,42635,2137 N KILPATRICK AVE,41.91984995400003,-87.74375587799994,census
25,Curb & Gutter Menu,2137 W 23RD ST,2018,9496.22,41675,2137 W 23RD ST,NA,NA,census
15,Sidewalk Menu,2137 W GARFIELD BLVD,2019,13041.2433333333,41145,2137 W GARFIELD BLVD,41.793505380000056,-87.67807165699998,census
36,Alley Speed Hump Menu,2138 N MOODY AVE,2019,1400,42621,2138 N MOODY AVE,41.91878339300007,-87.77920584799995,census
2,Street Lighting,214 S OAKLEY AVE,2011,350,1800,214 S OAKLEY AVE,41.7737953,-87.6809312,google
18,Bollard Menu,2140 W 79 ST,2009,514,14695,2140 W 79 ST,41.7504335,-87.67704,google
18,Miscellaneous CDOT Projects,2140 W 79TH ST,2021,660,15168,2140 W 79TH ST,41.7504335,-87.67704,google
2,Alley Apron Menu,2140 W LE MOYNE ST,2022,14868.18,2331,2140 W LE MOYNE ST,41.9083944,-87.6815159,google
36,Sidewalk Menu,2141 N KILPATRICK AVE,2019,5413.81333333333,42634,2141 N KILPATRICK AVE,41.91989637700004,-87.74375684799998,census
12,Street Light Upgrade,2141 S CALIFORNIA AVE,2015,400,9379,2141 S CALIFORNIA AVE,41.852479877000064,-87.69545373899996,census
25,Sidewalk Menu,2141 S TAN CT,2020,4949.37,20773,2141 S TAN CT,41.85510166200004,-87.63456339699997,census
25,POD Camera,2141 S. Tan Court,2010,25000,20448,2141 S. Tan Court,41.85510885300005,-87.63454910999997,census
32,Alley Apron Menu,2142 W MOFFAT ST,2018,11165.42,26312,2142 W MOFFAT ST,41.91541283400005,-87.68112462399995,census
43,Alley Apron Menu,2143 N CLIFTON AVE,2017,6860.18,35062,2143 N CLIFTON AVE,41.92046771400004,-87.65707549799998,census
36,Sidewalk Menu,2143 N KILPATRICK AVE,2019,5413.81333333333,42636,2143 N KILPATRICK AVE,41.919919605000075,-87.74375718999994,census
47,Alley Apron Menu,2143 W AINSLIE ST,2016,8410.91,37905,2143 W AINSLIE ST,41.97051477000008,-87.68305240399997,census
47,Sidewalk Menu,2143 W WARNER AVE,2022,6407.87,38293,2143 W WARNER AVE,41.95684261700006,-87.68215745399993,census
26,Sidewalk Menu,2144 N HAMLIN AVE,2021,2329.79,21555,2144 N HAMLIN AVE,41.92045315000007,-87.72176933099996,census
32,Bollard Menu,2144 N SHEFFIELD AV,2009,630,25921,2144 N SHEFFIELD AV,41.92054709100006,-87.65345403199996,census
32,Sidewalk Menu,2144 W WABANSIA AVE,2020,11486.72,26412,2144 W WABANSIA AVE,41.91267625800003,-87.68154876199998,census
43,Alley Apron Menu,2145 N BISSELL ST,2016,10484.24,34984,2145 N BISSELL ST,41.92056560100008,-87.65222526499997,census
25,Curb & Gutter Menu,2145 W 23RD ST,2018,9496.22,41676,2145 W 23RD ST,NA,NA,census
27,Alley Speed Hump Menu,2147 W GLADYS AVE,2019,700,22220,2147 W GLADYS AVE,41.876904040000056,-87.68041186199997,census
36,Prosser High School Community Garden,2148 N LONG AVE,2016,25000,29447,2148 N LONG AVE,NA,NA,census
36,Prosser Academy Community Garden,2148 N LONG AVE,2020,20000,29648,2148 N LONG AVE,NA,NA,census
32,Bollard Menu,2148 W WEBSTER AV,2007,714,25836,2148 W WEBSTER AV,41.921328018000054,-87.68216445999997,census
32,Bollard Menu,2148 W WEBSTER AV,2007,714,25837,2148 W WEBSTER AV,41.921328018000054,-87.68216445999997,census
47,Sidewalk Menu,2149 W BRADLEY PL,2021,1605.98,38217,2149 W BRADLEY PL,41.949547618000054,-87.68224488799996,census
47,Sidewalk Menu,2150 W ADDISON ST,2020,6614.57,38172,2150 W ADDISON ST,41.94681698000005,-87.68259771999999,census
8,Miscellaneous CDOT Projects,2151 E 75TH ST,2022,150,6191,2151 E 75TH ST,41.75892252500006,-87.57183014799995,census
2,Alley Apron Menu,2151 W LE MOYNE ST,2016,9174.78,2133,2151 W LE MOYNE ST,41.9080565,-87.6817409,google
47,Sidewalk Menu,2153 W BELLE PLAINE AVE,2021,4099.88,38218,2153 W BELLE PLAINE AVE,41.95592571700007,-87.68253387999994,census
7,Sidewalk Menu,2155 E 93RD ST,2020,4761.58,5373,2155 E 93RD ST,41.72467284900006,-87.67641487199995,census
49,Alley Apron Menu,2156 W CHASE AVE,2021,3207.25,39670,2156 W CHASE AVE,42.01406602000003,-87.68581317799999,census
49,Alley Apron Menu,2156 W CHASE AVE,2022,8076.69,39725,2156 W CHASE AVE,42.01406602000003,-87.68581317799999,census
40,Sidewalk Menu,2156 W FARRAGUT AVE,2018,1329.16,32607,2156 W FARRAGUT AVE,41.97688763600007,-87.68356466999995,census
50,Street Light Upgrade Menu,2156 W ROSEMONT AVE,2018,2200,43580,2156 W ROSEMONT AVE,41.99601249600005,-87.68436853199995,census
25,POD Camera,2158 W. Cermak,2009,13000,20309,2158 W. Cermak,41.8522961,-87.680499,google
36,Sidewalk Menu,2159 N NATCHEZ AVE,2022,2459.36,29752,2159 N NATCHEZ AVE,41.91941518700003,-87.78775485299997,census
25,High Definition Camera,2159 W 21ST PL,2014,22500,20608,2159 W 21ST PL,41.85303656200006,-87.67972922799999,census
25,High Definition Camera,2159 W. 19 th Street,2013,22500,20568,2159 W. 19 th Street,41.85578891000006,-87.67981004599994,census
28,Sidewalk Menu,217 N KOLIN AVE,2019,1158.925,41978,217 N KOLIN AVE,41.883440187000076,-87.73432880199994,census
28,Traffic Signal Miscellaneous Menu,217 S KILPATRICK AVE,2016,470.48,22926,217 S KILPATRICK AVE,41.877340315000026,-87.74270402799993,census
28,Miscellaneous CDOT Projects,217 S PULASKI RD,2019,3361.68176470588,41963,217 S PULASKI RD,41.87743967500006,-87.72554712699997,census
42,Sidewalk Menu - Change Order,217 W Huron,2011,3612,33835,217 W Huron,41.8945578,-87.635062,google
36,Sidewalk Menu,2173 N MELVINA AVE,2017,10492.67,29505,2173 N MELVINA AVE,41.91950787400003,-87.78043013899998,census
36,Sidewalk Menu,2174 N MOBILE AVE,2021,9072.43,29699,2174 N MOBILE AVE,41.919948239000064,-87.78289887199998,census
36,Sidewalk Menu,2174 N MOODY AVE,2021,11125.04,29700,2174 N MOODY AVE,41.91948424800006,-87.77922858999995,census
36,Sidewalk Menu,2186 N MERRIMAC AVE,2021,7650.61,42674,2186 N MERRIMAC AVE,41.92041440000003,-87.78169241299997,census
28,Miscellaneous-CDOT,2189 W Bowler,2010,933,22587,2189 W Bowler,41.87066122900006,-87.68031730999996,census
27,Alley Apron Menu,219 N MORGAN ST,2020,13651.29,22232,219 N MORGAN ST,41.878883114000075,-87.65193028899995,census
2,Seneca Park Playlot Improvement,220 E CHICAGO AVE,2021,197305.52,2302,220 E CHICAGO AVE,41.8971824,-87.621029,google
2,Floodlight Menu,220 E LAKE SHORE DR,2018,900,40293,220 E LAKE SHORE DR,41.90091281800005,-87.62151470399994,census
43,Alley Resurfacing Menu,2200 N FREMONT ST,2022,2304.395,43087,2200 N FREMONT ST,41.92181572000004,-87.65106998499994,census
35,Concrete Alley Menu,2200 N KEELER AVE,2018,231000,28716,2200 N KEELER AVE,41.9209497,-87.7318418,google
35,Miscellaneous CDOT Projects,2200 N KEYSTONE AVE,2019,1000,28796,2200 N KEYSTONE AVE,41.92095889800004,-87.72788689399994,census
35,Street Light Pole Painting Menu,2200 N KIMBALL AVE,2022,4400,28959,2200 N KIMBALL AVE,41.921050867000076,-87.71199927999999,census
32,Bollard Menu,2200 N LEAVITT ST,2005,633,25691,2200 N LEAVITT ST,41.9214038,-87.6829085,google
36,Sidewalk Menu,2200 N LECLAIRE AVE,2016,11545.63,29455,2200 N LECLAIRE AVE,41.920636986000034,-87.75359123499999,census
36,Sidewalk Menu,2200 N MERRIMAC AVE,2017,25755.24,29514,2200 N MERRIMAC AVE,41.920924471000035,-87.78170794599998,census
32,Chicago Park District,2200 N OAKLEY AVE,2014,150000,26177,2200 N OAKLEY AVE,41.85203454300006,-87.68319108699995,census
32,Chicago Park District,2200 N OAKLEY AVE,2015,150000,26206,2200 N OAKLEY AVE,41.85203454300006,-87.68319108699995,census
32,Street Speed Hump Menu,2200 N OAKLEY AVE,2016,1850,26260,2200 N OAKLEY AVE,41.85203454300006,-87.68319108699995,census
25,POD Camera,2200 S Archer,2007,24000,41660,2200 S Archer,41.8527016,-87.6355684,google
22,Floodlight Menu,2200 S KENNETH AVE,2014,600,17689,2200 S KENNETH AVE,41.920838306000064,-87.73768052899999,census
22,Alley Resurfacing Menu,2200 S LAWNDALE AVE,2020,13358.29,41442,2200 S LAWNDALE AVE,41.85159702000004,-87.71743652799995,census
25,Street Traffic Circle Menu,2200 W 33RD ST,2018,21913.05,20731,2200 W 33RD ST,41.833972491000054,-87.68031853699995,census
32,Street Speed Hump Menu,2200 W SCHOOL ST,2017,1850,42412,2200 W SCHOOL ST,41.941339662000075,-87.68329663099996,census
1,Sidewalk Menu,2200 W SUPERIOR ST,2016,3056.81,680,2200 W SUPERIOR ST,41.89492245000008,-87.68206836899998,census
32,Street Speed Hump Menu,2200 W WELLINGTON AVE,2016,3700,26267,2200 W WELLINGTON AVE,41.935867630000075,-87.68408964099996,census
25,POD Camera,2200 W. 23 rd Pl,2009,25000,20306,2200 W. 23 rd Pl,41.849382,-87.6806577,google
36,Alley Apron Menu,2201 N NATCHEZ AVE,2021,11380.155,42662,2201 N NATCHEZ AVE,41.92005379100004,-87.78777513699998,census
12,Miscellaneous-CDOT,2201 S Sacramento,2008,26096,9040,2201 S Sacramento,41.8518312,-87.7003342,google
25,POD CAMERA INSTALLATION - 2201 S. WESTERN,2201 S WESTERN AVE,2018,27011,20713,2201 S WESTERN AVE,41.92191054500006,-87.68754022299998,census
25,Sidewalk Menu,2201 W CERMAK RD,2022,41453.87,20876,2201 W CERMAK RD,41.85209363100006,-87.68083821899995,census
27,Curb & Gutter Menu,2201 W MONROE ST,2021,19651.72,22266,2201 W MONROE ST,41.879924052000035,-87.68162441299995,census
40,Curb & Gutter Menu,2202 W FARRAGUT AVE,2022,34617.07,32706,2202 W FARRAGUT AVE,41.976875567000036,-87.68455518899998,census
36,Sidewalk Menu,2203 N MOBILE AVE,2022,15306.275,42707,2203 N MOBILE AVE,41.92070116600007,-87.78290882799996,census
36,Sidewalk Menu,2203 N MULLIGAN AVE,2021,9527.79,29701,2203 N MULLIGAN AVE,41.92045580000007,-87.78411667299997,census
12,Sidewalk Menu,2203 S MARSHALL BLVD,2020,2479.12,9641,2203 S MARSHALL BLVD,41.85167875600007,-87.69907387699999,census
36,Sidewalk Menu,2205 N NATCHEZ AVE,2016,5677.24,29457,2205 N NATCHEZ AVE,41.920121325000025,-87.78777663799997,census
36,Alley Resurfacing Menu,2208 N MERRIMAC AVE,2021,10935.67,42667,2208 N MERRIMAC AVE,41.92095149100004,-87.78170863899999,census
3,Alley Resurfacing Menu,221 E 51ST ST,2020,22512.15,2901,221 E 51ST ST,41.802038982000056,-87.62001564999997,census
42,Sidewalk Menu,221 N COLUMBUS DR,2022,20180.12,34277,221 N COLUMBUS DR,41.88628244800003,-87.62057629299994,census
34,Street Light Upgrade Menu,221 W 105TH ST,2017,500,27924,221 W 105TH ST,41.70343915600006,-87.62945661699996,census
2,POD CAMERA - 2210 N SOUTHPORT AVE,2210 N SOUTHPORT AVE,2018,27011,2224,2210 N SOUTHPORT AVE,41.92183761000007,-87.66320809499996,census
25,Pole Painting,2210 W 18 PL,2009,600,20227,2210 W 18 PL,41.8569162,-87.6815329,google
25,Street Lighting,2210 W 18 PL,2009,800,20252,2210 W 18 PL,41.8569162,-87.6815329,google
50,Street Light Upgrade Menu,2211 W TOUHY AVE,2017,500,40068,2211 W TOUHY AVE,42.01223821600007,-87.68639409499997,census
12,Sidewalk Menu,2212 W 37TH ST,2018,1622.19,9489,2212 W 37TH ST,41.826689352000074,-87.68065278599994,census
